"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**,REF**";"MountingHole_2.5mm_Pad_Via";5;"MountingHole_2.5mm_Pad_Via";;;
2;"U8";"teensy3.6";1;"Teensy3.6";;;
3;"IC1";"XBP9B-DMST-002";1;"XBP9B-DMST-002";;;
4;"U2";"TO-220-3_Vertical";1;"LM1085-3.3";;;
5;"C5";"THTt_100Px200Lx125Wx200H_1000p";1;"1000p";;;
6;"C15,C17,C19,C21,C23,C1,C11,C12,C13,C14,C20,C25,C26,C29";"THTt_100Px150Lx100Wx183H_4700p";14;"4700p";;;
7;"C22,C10,C16,C18,C24,C27";"THTm_1.5Px4Dx7H_4.7u";6;"4.7u";;;
8;"D1";"LED_D3.0mm_FlatTop";1;"LED_RP";;;
9;"D4";"LED_D5.0mm_FlatTop";1;"LED_GOOD";;;
10;"D5";"D_DO-15_P10.16mm_Horizontal";1;"1N5619GP";;;
11;"K2,K3,K4";"PB1167";3;"PB1167";;;
12;"Q1";"TO-220-3_Vertical";1;"KSC2073H2TU";;;
13;"R1,R2,R3,R5,R7,R9,R11,R13,R15,R17,R19,R21,R23";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";13;"100k";;;
14;"R4,R6,R8,R10,R12,R14,R16,R18,R20,R22,R24";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";11;"33k";;;
15;"R26,R25";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";2;"2k";;;
16;"R29,R30,R31,R27,R28";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";5;"100K";;;
17;"R32";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"2K";;;
18;"R33";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"47K";;;
19;"U1";"TO-220-3_Vertical";1;"LM1085-5.0";;;
20;"U6";"HXS20";1;"HXS20";;;
21;"U7";"NBPMANN";1;"NBPMANN150";;;
22;"C3";"THTm_1.5Px4Dx7H_10u";1;"10u";;;
23;"C7,C6,C9,C28";"THTm_2Px4Dx12H_47u";4;"47u";;;
24;"J3";"THT_TerminalBlock_2.5mm_6pos";1;"Conn_01x06";;;
25;"J4";"THT_TerminalBlock_2.5mm_4pos";1;"Conn_01x04";;;
26;"J5";"THT_TerminalBlock_2.5mm_3pos";1;"Conn_01x03";;;
27;"L1,L2,L5,L4";"L_Axial_L7.0mm_D3.3mm_P5.08mm_Vertical_Fastron_MICC";4;"Ferrite_Bead_Small";;;
28;"R34";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"400";;;
29;"D2,D3,D7,D8";"D_DO-41_SOD81_P2.54mm_Vertical_KathodeUp";4;"1N4001";;;
30;"D6";"D_DO-41_SOD81_P2.54mm_Vertical_KathodeUp";1;"1N5619GP";;;
31;"R35,R36,R37,R38,R39";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";5;"150";;;
32;"R40";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"33";;;
33;"J1";"TerminalBlock_Altech_AK300-2_P5.00mm";1;"Conn_01x02";;;
34;"J2";"THT_TerminalBlock_2.5mm_2pos";1;"Conn_01x02";;;
35;"U10,U9,U5,U4,U3";"BDW42G";5;"BDW42G";;;
36;"C8";"ELBK250";1;"5900u";;;
37;"C2";"THTm_5Px8Dx22H__470u";1;"470u";;;
